knowledge_point,questions_done,total_questions,correct_rate,mastery
7.2.4 通道控制方式,17,18,0.2377,0.2272
7.3 I/O缓冲,13,21,0.5324,0.3702
7.3.1 单缓冲,17,22,0.3837,0.3139
7.3.2 双缓冲,17,19,0.2309,0.2114
7.3.3 循环缓冲,18,29,0.234,0.163
7.3.4 缓冲池,18,27,0.3975,0.2915
7.3.5 缓冲的作用,14,27,0.2588,0.1591
7.4 设备驱动程序,17,21,0.2508,0.2126
7.5 设备分配,13,22,0.539,0.3626
7.5.1 设备分配原则与分配方式,17,23,0.2396,0.1896
7.5.2 设备分配时应考虑的因素,21,26,0.5976,0.5056
7.5.3 设备分配中的数据结构,14,19,0.676,0.5337
7.5.4 I/O设备分配的基本流程,23,27,0.2399,0.2115
7.5.5 SPOOLing技术,6,12,0.1362,0.0817
7.6 磁盘存储器的管理,13,17,0.4584,0.3721
7.6.1 磁盘性能参数,11,19,0.1789,0.1187
7.6.2 磁盘调度,18,21,0.2802,0.2482
7.6.3 磁盘阵列,24,25,0.5507,0.5331
7.7 时钟管理和电源管理,11,12,0.3808,0.3555
7.7.1 时钟管理,16,23,0.4301,0.3254
7.7.2 电源管理,13,14,0.4104,0.3869
7.8 I/O管理实例,11,17,0.3503,0.2514
8.1 计算机安全概述,10,11,0.3887,0.3604
8.1.1 计算机安全的基本概念,12,14,0.4001,0.3544
8.1.2 计算机安全威胁,22,25,0.1827,0.1652
8.1.3 计算机安全评估与标准,25,30,0.3542,0.3069
8.2 操作系统安全机制,9,11,0.3535,0.3021
8.2.1 身份认证,6,11,0.4668,0.2971
8.2.2 访问控制,15,24,0.4407,0.3085
8.2.3 审计,17,30,0.5364,0.3505
8.2.4 文件系统保护,19,20,0.4866,0.4671
8.2.5 入侵检测,15,20,0.5723,0.4578
8.3 操作系统安全模型,13,16,0.3743,0.3182
8.3.1 安全模型的基本概念,16,22,0.6119,0.4784
8.3.2 自主访问控制模型,8,13,0.2799,0.1938
8.3.3 强制访问控制模型,21,24,0.3424,0.3082
8.3.4 基于角色的访问控制模型,19,26,0.4878,0.3827
8.4 操作系统安全体系结构,7,14,0.2385,0.1431
8.4.1 安全体系结构概述,22,28,0.1,0.0829
8.4.2 安全操作系统设计原则,24,28,0.4392,0.389
8.4.3 安全操作系统体系结构,15,23,0.3413,0.2464
8.5 操作系统安全实例,9,17,0.5074,0.3164
9.1 鸿蒙操作系统概述,16,19,0.2839,0.248
9.1.1 鸿蒙操作系统发展历程,18,22,0.3113,0.266
9.1.2 鸿蒙操作系统技术特点,17,19,0.3392,0.3107
9.2 鸿蒙操作系统架构,17,24,0.4405,0.3377
9.2.1 系统架构,18,26,0.3542,0.267
9.2.2 内核子系统,21,24,0.3055,0.2749
9.2.3 驱动子系统,21,26,0.4597,0.389
9.3 鸿蒙操作系统启动流程,12,22,0.2343,0.1491
9.4 鸿蒙操作系统开发实践,20,28,0.1931,0.149
10.1 操作系统设计目标,15,29,0.3116,0.1913
10.2 操作系统界面设计,15,19,0.4902,0.4076
10.2.1 用户界面设计,14,20,0.4362,0.3315
10.2.2 系统调用接口设计,16,28,0.2213,0.1454
10.3 操作系统实现,14,17,0.1831,0.1573
10.3.1 操作系统开发环境,10,20,0.4544,0.2726
10.3.2 操作系统编程语言,10,18,0.36,0.232
10.3.3 操作系统开发方法,22,29,0.4759,0.384
10.4 操作系统性能优化,11,14,0.3831,0.3175
10.4.1 性能评价指标,24,28,0.4357,0.3859
10.4.2 性能优化技术,12,21,0.409,0.2688
10.5 操作系统项目管理,14,24,0.2529,0.1686
10.5.1 项目规划,9,19,0.2615,0.1514
10.5.2 项目组织,7,13,0.3127,0.1973
10.5.3 项目控制,17,19,0.2287,0.2095
