knowledge_point,questions_done,total_questions,correct_rate,mastery
3.5 经典问题,7,13,0.2184,0.1378
3.5.1 读者-写者问题,12,22,0.3254,0.2071
3.5.2 哲学家进餐问题,15,20,0.2201,0.1761
3.5.3 打瞌睡的理发师问题,17,20,0.5102,0.4489
3.6 多核环境下的进程同步,25,27,0.3013,0.2834
3.7 进程同步与通信实例,17,20,0.4107,0.3614
4.1 处理机调度类型,20,27,0.4166,0.3302
4.1.1 长程调度,12,18,0.6239,0.4575
4.1.2 中程调度,12,23,0.4978,0.3074
4.1.3 短程调度,17,24,0.3796,0.291
4.2 单处理机调度算法,25,27,0.3666,0.3448
4.2.1 处理机调度功能与标准,13,19,0.4156,0.3106
4.2.2 常用的处理机调度算法,21,23,0.4669,0.4344
4.3 多处理机调度,11,12,0.5221,0.4873
4.3.1 多处理机调度考虑的问题,21,26,0.5971,0.5052
4.3.2 多处理机的进程调度,9,13,0.33,0.2488
4.3.3 多处理机的线程调度,14,20,0.3518,0.2673
4.4 实时调度,19,29,0.4519,0.3272
4.4.1 实时调度特点,6,10,0.2712,0.1844
4.4.2 常用的实时调度算法,10,16,0.4477,0.3134
4.5 处理机调度实例,25,30,0.5518,0.4782
4.6 处理机调度新进展,20,26,0.2702,0.2203
5.1 存储管理的功能,5,11,0.3579,0.2018
5.1.1 计算机系统的多级存储结构,14,21,0.5857,0.4295
5.1.2 存储管理的任务和功能,7,14,0.3868,0.2321
5.2 存储分配的几种形式与重定位,20,25,0.5764,0.4842
5.2.1 存储分配的几种形式,8,13,0.4985,0.3451
5.2.2 重定位,10,18,0.4439,0.2861
5.2.3 覆盖与交换,11,18,0.3849,0.2652
5.3 单道环境下的存储管理,8,14,0.559,0.3673
5.4 分区存储管理,22,25,0.5229,0.4727
5.4.1 固定分区法,15,22,0.5044,0.376
5.4.2 动态分区法,15,25,0.601,0.4087
5.5 页式存储管理,5,11,0.19,0.1071
5.5.1 概述,8,16,0.4256,0.2554
5.5.2 静态分页管理,20,21,0.6064,0.5833
5.5.3 虚拟页式存储管理,17,19,0.3882,0.3555
5.5.4 分页存储管理的优缺点,14,25,0.2855,0.185
5.6 段式及段页式存储管理,15,18,0.4226,0.3663
5.6.1 段式存储管理,18,29,0.4906,0.3417
5.6.2 段式虚拟存储管理,18,25,0.4386,0.3403
5.6.3 段页式虚拟存储管理,14,27,0.4552,0.2799
5.7 内存管理实例,6,11,0.5166,0.3288
5.8 内存管理设计与实现问题,17,24,0.355,0.2722
5.8.1 内存管理设计问题,7,15,0.513,0.2941
5.8.2 内存管理实现问题,20,22,0.3263,0.3026
6.1 文件,10,16,0.512,0.3584
6.1.1 文件命名,15,20,0.5391,0.4313
6.1.2 文件类型,10,11,0.4821,0.4471
6.1.3 文件属性,9,11,0.4554,0.3892
6.1.4 文件的存取方法,15,16,0.5672,0.5388
6.1.5 文件操作,12,24,0.444,0.2664
6.1.6 文件的逻辑结构,13,22,0.4423,0.2975
6.1.7 文件系统的布局,14,26,0.2801,0.1767
6.2 文件目录,10,15,0.4931,0.3616
6.2.1 文件目录内容,9,13,0.6699,0.505
6.2.2 文件目录结构,27,29,0.6059,0.5725
6.3 文件共享与保护,18,23,0.4932,0.4074
6.3.1 文件共享,27,28,0.37,0.3594
6.3.2 文件保护,13,14,0.3233,0.3049
6.4 文件恢复,11,13,0.6911,0.6061
6.4.1 文件系统的一致性,13,26,0.4101,0.246
6.4.2 日志文件系统,16,25,0.5643,0.4018
6.5 文件存储空间的管理,19,30,0.5272,0.3725
6.5.1 空闲表法,15,20,0.4245,0.3396
6.5.2 空闲链表法,13,25,0.3054,0.1881
6.5.3 位示图法,11,20,0.4938,0.3161
6.5.4 链接索引表法,12,14,0.4332,0.3837
6.6 文件分配,11,19,0.4732,0.3138
6.6.1 连续分配,12,13,0.4207,0.3948
6.6.2 链接分配,6,13,0.472,0.2687
6.6.3 索引链接分配,24,29,0.3666,0.3161
6.7 文件系统性能,13,14,0.5002,0.4716
6.7.1 高速缓存,10,11,0.6771,0.6278
6.7.2 预读取与异步写,28,29,0.4958,0.4822
6.8 文件管理实例,8,11,0.5596,0.4375
7.1 I/O管理概述,27,28,0.2877,0.2795
7.1.1 I/O管理目标与功能,12,20,0.2354,0.1601
7.1.2 I/O系统组成,14,28,0.5103,0.3062
7.2 I/O控制方式,10,14,0.4026,0.3106
7.2.1 程序直接控制方式,12,17,0.5677,0.4341
7.2.2 中断控制方式,10,11,0.4584,0.4251
7.2.3 DMA控制方式,13,17,0.53,0.4302
7.2.4 通道控制方式,16,25,0.5381,0.3831
7.3 I/O缓冲,24,27,0.5783,0.5269
7.3.1 单缓冲,10,18,0.5034,0.3244
7.3.2 双缓冲,15,25,0.6241,0.4244
7.3.3 循环缓冲,15,16,0.4666,0.4432
7.3.4 缓冲池,20,23,0.4896,0.4385
7.3.5 缓冲的作用,15,18,0.5033,0.4362
7.4 设备驱动程序,15,19,0.2992,0.2488
7.5 设备分配,10,20,0.4234,0.254
7.5.1 设备分配原则与分配方式,19,27,0.4076,0.311
7.5.2 设备分配时应考虑的因素,9,11,0.3881,0.3316
7.5.3 设备分配中的数据结构,15,25,0.4762,0.3238
7.5.4 I/O设备分配的基本流程,12,22,0.5705,0.363
7.5.5 SPOOLing技术,7,13,0.5742,0.3622
7.6 磁盘存储器的管理,14,17,0.625,0.5368
7.6.1 磁盘性能参数,21,25,0.48,0.4186
7.6.2 磁盘调度,19,30,0.5303,0.3747
7.6.3 磁盘阵列,24,28,0.4251,0.3765
7.7 时钟管理和电源管理,12,13,0.227,0.213
7.7.1 时钟管理,11,14,0.5436,0.4504
7.7.2 电源管理,14,20,0.3721,0.2828
7.8 I/O管理实例,17,18,0.3974,0.3797
8.1 计算机安全概述,26,28,0.5291,0.4989
8.1.1 计算机安全的基本概念,15,29,0.4098,0.2515
8.1.2 计算机安全威胁,15,26,0.4073,0.2694
8.1.3 计算机安全评估与标准,6,10,0.4655,0.3165
8.2 操作系统安全机制,6,13,0.5495,0.3128
8.2.1 身份认证,8,14,0.4695,0.3086
8.2.2 访问控制,11,12,0.3525,0.329
8.2.3 审计,8,11,0.4415,0.3452
8.2.4 文件系统保护,22,27,0.4006,0.3413
8.2.5 入侵检测,9,18,0.4619,0.2772
8.3 操作系统安全模型,16,30,0.4075,0.2554
8.3.1 安全模型的基本概念,14,18,0.4102,0.3373
8.3.2 自主访问控制模型,22,24,0.1,0.0933
8.3.3 强制访问控制模型,21,30,0.4584,0.3484
8.3.4 基于角色的访问控制模型,22,26,0.4022,0.3527
8.4 操作系统安全体系结构,14,21,0.411,0.3014
8.4.1 安全体系结构概述,12,20,0.4008,0.2725
8.4.2 安全操作系统设计原则,26,30,0.4241,0.3789
8.4.3 安全操作系统体系结构,10,17,0.4084,0.2739
8.5 操作系统安全实例,15,16,0.4106,0.39
9.1 鸿蒙操作系统概述,12,20,0.4359,0.2964
9.1.1 鸿蒙操作系统发展历程,12,15,0.5125,0.4305
9.1.2 鸿蒙操作系统技术特点,20,26,0.5144,0.4194
9.2 鸿蒙操作系统架构,10,16,0.4949,0.3464
9.2.1 系统架构,13,17,0.5008,0.4065
9.2.2 内核子系统,9,17,0.7036,0.4387
9.2.3 驱动子系统,17,19,0.451,0.413
9.3 鸿蒙操作系统启动流程,24,29,0.4223,0.3641
9.4 鸿蒙操作系统开发实践,27,28,0.6139,0.5964
10.1 操作系统设计目标,9,14,0.401,0.2864
10.2 操作系统界面设计,26,27,0.4989,0.4841
10.2.1 用户界面设计,20,29,0.4926,0.3703
10.2.2 系统调用接口设计,14,28,0.4658,0.2795
10.3 操作系统实现,18,19,0.5782,0.5538
10.3.1 操作系统开发环境,12,19,0.3305,0.2331
10.3.2 操作系统编程语言,18,25,0.4839,0.3755
10.3.3 操作系统开发方法,18,19,0.4404,0.4219
10.4 操作系统性能优化,13,17,0.4707,0.3821
10.4.1 性能评价指标,16,22,0.4052,0.3168
10.4.2 性能优化技术,6,10,0.6448,0.4385
10.5 操作系统项目管理,9,12,0.4781,0.3825
10.5.1 项目规划,9,13,0.5231,0.3943
10.5.2 项目组织,5,10,0.35,0.21
10.5.3 项目控制,16,30,0.4653,0.2916
