knowledge_point,questions_done,total_questions,correct_rate,mastery
5.6.3 段页式虚拟存储管理,18,20,0.8324,0.7658
5.7 内存管理实例,18,21,0.6734,0.5964
5.8 内存管理设计与实现问题,14,15,0.4139,0.3918
5.8.1 内存管理设计问题,25,28,0.7905,0.7227
5.8.2 内存管理实现问题,9,12,0.5681,0.4545
6.1 文件,13,17,0.7924,0.6432
6.1.1 文件命名,23,30,0.379,0.3082
6.1.2 文件类型,26,30,0.6957,0.6215
6.1.3 文件属性,19,30,0.5732,0.405
6.1.4 文件的存取方法,14,16,0.5761,0.5185
6.1.5 文件操作,11,15,0.6807,0.5355
6.1.6 文件的逻辑结构,10,17,0.6525,0.4376
6.1.7 文件系统的布局,20,22,0.6571,0.6093
6.2 文件目录,25,30,0.6107,0.5293
6.2.1 文件目录内容,14,17,0.6749,0.5796
6.2.2 文件目录结构,14,15,0.5732,0.5426
6.3 文件共享与保护,5,11,0.4825,0.272
6.3.1 文件共享,10,21,0.6729,0.3909
6.3.2 文件保护,15,21,0.7026,0.542
6.4 文件恢复,25,30,0.7275,0.6305
6.4.1 文件系统的一致性,21,24,0.7808,0.7027
6.4.2 日志文件系统,7,10,0.6901,0.5245
6.5 文件存储空间的管理,10,15,0.574,0.421
6.5.1 空闲表法,21,27,0.5158,0.4241
6.5.2 空闲链表法,10,16,0.7161,0.5013
6.5.3 位示图法,10,20,0.7486,0.4492
6.5.4 链接索引表法,18,25,0.7104,0.5513
6.6 文件分配,6,10,0.633,0.4305
6.6.1 连续分配,6,12,0.6998,0.4199
6.6.2 链接分配,24,27,0.6397,0.5829
6.6.3 索引链接分配,29,30,0.6337,0.6168
6.7 文件系统性能,13,21,0.5262,0.3659
6.7.1 高速缓存,28,29,0.8208,0.7982
6.7.2 预读取与异步写,15,17,0.7493,0.6788
6.8 文件管理实例,14,18,0.5688,0.4677
7.1 I/O管理概述,6,10,0.702,0.4774
7.1.1 I/O管理目标与功能,9,17,0.5609,0.3497
7.1.2 I/O系统组成,20,28,0.7559,0.5831
7.2 I/O控制方式,13,18,0.7648,0.5949
7.2.1 程序直接控制方式,24,25,0.562,0.5441
7.2.2 中断控制方式,15,25,0.8149,0.5541
7.2.3 DMA控制方式,19,26,0.7741,0.6074
7.2.4 通道控制方式,10,11,0.6536,0.6061
7.3 I/O缓冲,8,14,0.7754,0.5095
7.3.1 单缓冲,12,22,0.5485,0.349
7.3.2 双缓冲,6,11,0.6181,0.3934
7.3.3 循环缓冲,14,16,0.5841,0.5257
7.3.4 缓冲池,18,28,0.7465,0.5332
7.3.5 缓冲的作用,16,18,0.5464,0.4979
7.4 设备驱动程序,10,15,0.5587,0.4097
7.5 设备分配,8,11,0.7171,0.5607
7.5.1 设备分配原则与分配方式,7,11,0.8684,0.6158
7.5.2 设备分配时应考虑的因素,23,28,0.8113,0.6954
7.5.3 设备分配中的数据结构,18,20,0.5445,0.501
7.5.4 I/O设备分配的基本流程,14,28,0.5606,0.3364
7.5.5 SPOOLing技术,17,30,0.6937,0.4532
7.6 磁盘存储器的管理,29,30,0.5545,0.5397
7.6.1 磁盘性能参数,9,13,0.7436,0.5606
7.6.2 磁盘调度,22,29,0.724,0.5842
7.6.3 磁盘阵列,15,29,0.678,0.4161
7.7 时钟管理和电源管理,9,14,0.6314,0.451
7.7.1 时钟管理,24,26,0.6277,0.5891
7.7.2 电源管理,19,23,0.7486,0.6445
7.8 I/O管理实例,10,13,0.6467,0.5273
8.1 计算机安全概述,22,24,0.8681,0.8102
8.1.1 计算机安全的基本概念,24,28,0.7371,0.6528
8.1.2 计算机安全威胁,13,16,0.7995,0.6796
8.1.3 计算机安全评估与标准,12,14,0.4705,0.4167
8.2 操作系统安全机制,18,19,0.7307,0.7
8.2.1 身份认证,12,18,0.7049,0.5169
8.2.2 访问控制,29,30,0.7582,0.738
8.2.3 审计,11,13,0.7353,0.6448
8.2.4 文件系统保护,7,13,0.5797,0.3657
8.2.5 入侵检测,8,11,0.6797,0.5314
8.3 操作系统安全模型,7,15,0.7019,0.4024
8.3.1 安全模型的基本概念,21,25,0.7416,0.6467
8.3.2 自主访问控制模型,25,26,0.6053,0.5867
8.3.3 强制访问控制模型,26,30,0.5134,0.4586
8.3.4 基于角色的访问控制模型,22,25,0.5446,0.4923
8.4 操作系统安全体系结构,24,30,0.6733,0.5656
8.4.1 安全体系结构概述,9,18,0.4227,0.2536
8.4.2 安全操作系统设计原则,19,30,0.6935,0.4901
8.4.3 安全操作系统体系结构,7,13,0.6234,0.3932
8.5 操作系统安全实例,11,20,0.6528,0.4178
9.1 鸿蒙操作系统概述,20,30,0.7911,0.5801
9.1.1 鸿蒙操作系统发展历程,15,24,0.6516,0.4561
9.1.2 鸿蒙操作系统技术特点,15,19,0.6674,0.555
9.2 鸿蒙操作系统架构,10,13,0.8878,0.7239
9.2.1 系统架构,13,17,0.99,0.8036
9.2.2 内核子系统,15,24,0.5859,0.4101
9.2.3 驱动子系统,20,30,0.7215,0.5291
9.3 鸿蒙操作系统启动流程,7,14,0.6778,0.4067
9.4 鸿蒙操作系统开发实践,10,18,0.6705,0.4321
10.1 操作系统设计目标,16,17,0.7126,0.6791
10.2 操作系统界面设计,17,20,0.6427,0.5656
10.2.1 用户界面设计,11,12,0.6921,0.646
10.2.2 系统调用接口设计,17,28,0.862,0.5911
10.3 操作系统实现,11,12,0.5233,0.4884
10.3.1 操作系统开发环境,8,14,0.798,0.5244
10.3.2 操作系统编程语言,14,19,0.8207,0.6479
10.3.3 操作系统开发方法,5,10,0.6741,0.4044
10.4 操作系统性能优化,14,21,0.6341,0.465
10.4.1 性能评价指标,7,13,0.9544,0.602
10.4.2 性能优化技术,23,27,0.5756,0.5074
10.5 操作系统项目管理,18,22,0.6866,0.5867
10.5.1 项目规划,9,11,0.6626,0.5663
10.5.2 项目组织,15,22,0.7682,0.5727
10.5.3 项目控制,21,29,0.6876,0.5358
