knowledge_point,questions_done,total_questions,correct_rate,mastery
7.1 I/O管理概述,8,10,0.6185,0.5195
7.1.1 I/O管理目标与功能,19,30,0.4851,0.3428
7.1.2 I/O系统组成,18,25,0.6641,0.5153
7.2 I/O控制方式,9,15,0.5456,0.371
7.2.1 程序直接控制方式,10,17,0.3604,0.2416
7.2.2 中断控制方式,10,15,0.4502,0.3302
7.2.3 DMA控制方式,18,26,0.6399,0.4824
7.2.4 通道控制方式,7,13,0.4395,0.2772
7.3 I/O缓冲,10,11,0.471,0.4368
7.3.1 单缓冲,13,23,0.3917,0.2555
7.3.2 双缓冲,26,27,0.7506,0.7283
7.3.3 循环缓冲,11,20,0.6208,0.3973
7.3.4 缓冲池,11,14,0.7442,0.6167
7.3.5 缓冲的作用,22,27,0.4721,0.4022
7.4 设备驱动程序,6,10,0.603,0.4101
7.5 设备分配,20,25,0.4511,0.379
7.5.1 设备分配原则与分配方式,17,29,0.6344,0.4244
7.5.2 设备分配时应考虑的因素,17,26,0.6646,0.4806
7.5.3 设备分配中的数据结构,27,28,0.6076,0.5902
7.5.4 I/O设备分配的基本流程,10,15,0.7093,0.5201
7.5.5 SPOOLing技术,13,15,0.6649,0.594
7.6 磁盘存储器的管理,7,14,0.681,0.4086
7.6.1 磁盘性能参数,17,26,0.5044,0.3647
7.6.2 磁盘调度,22,27,0.4876,0.4153
7.6.3 磁盘阵列,19,21,0.3288,0.3038
7.7 时钟管理和电源管理,16,17,0.6565,0.6256
7.7.1 时钟管理,23,26,0.6334,0.5749
7.7.2 电源管理,21,27,0.6318,0.5195
7.8 I/O管理实例,14,27,0.6118,0.3761
8.1 计算机安全概述,8,17,0.4209,0.2426
8.1.1 计算机安全的基本概念,16,29,0.2725,0.1748
8.1.2 计算机安全威胁,13,25,0.5696,0.3509
8.1.3 计算机安全评估与标准,5,10,0.4191,0.2515
8.2 操作系统安全机制,6,11,0.5722,0.3642
8.2.1 身份认证,16,19,0.7114,0.6216
8.2.2 访问控制,24,30,0.3985,0.3348
8.2.3 审计,18,25,0.4383,0.3401
8.2.4 文件系统保护,11,15,0.5204,0.4094
8.2.5 入侵检测,19,30,0.7692,0.5436
8.3 操作系统安全模型,26,28,0.4716,0.4447
8.3.1 安全模型的基本概念,17,25,0.694,0.5163
8.3.2 自主访问控制模型,18,29,0.4938,0.344
8.3.3 强制访问控制模型,20,29,0.5192,0.3903
8.3.4 基于角色的访问控制模型,13,25,0.3173,0.1955
8.4 操作系统安全体系结构,7,11,0.4226,0.2997
8.4.1 安全体系结构概述,10,15,0.499,0.3659
8.4.2 安全操作系统设计原则,11,12,0.4889,0.4563
8.4.3 安全操作系统体系结构,6,10,0.4159,0.2828
8.5 操作系统安全实例,19,24,0.121,0.1009
9.1 鸿蒙操作系统概述,10,12,0.53,0.4594
9.1.1 鸿蒙操作系统发展历程,15,24,0.8558,0.5991
9.1.2 鸿蒙操作系统技术特点,8,11,0.3858,0.3016
9.2 鸿蒙操作系统架构,5,10,0.4172,0.2503
9.2.1 系统架构,12,17,0.3421,0.2616
9.2.2 内核子系统,15,18,0.6581,0.5704
9.2.3 驱动子系统,9,16,0.2478,0.1611
9.3 鸿蒙操作系统启动流程,18,27,0.61,0.4474
9.4 鸿蒙操作系统开发实践,13,18,0.5367,0.4175
10.1 操作系统设计目标,17,30,0.5008,0.3272
10.2 操作系统界面设计,9,10,0.6493,0.5973
10.2.1 用户界面设计,8,17,0.5543,0.3195
10.2.2 系统调用接口设计,15,18,0.725,0.6284
10.3 操作系统实现,11,14,0.5379,0.4456
10.3.1 操作系统开发环境,5,10,0.579,0.3474
10.3.2 操作系统编程语言,16,17,0.4166,0.397
10.3.3 操作系统开发方法,10,13,0.412,0.336
10.4 操作系统性能优化,10,18,0.7884,0.5081
10.4.1 性能评价指标,10,17,0.5869,0.3936
10.4.2 性能优化技术,10,14,0.4436,0.3422
10.5 操作系统项目管理,22,27,0.4429,0.3773
10.5.1 项目规划,24,25,0.5983,0.5792
10.5.2 项目组织,28,29,0.4827,0.4694
10.5.3 项目控制,18,29,0.5532,0.3854
