knowledge_point,questions_done,total_questions,correct_rate,mastery
8.1.1 计算机安全的基本概念,22,25,0.8611,0.7784
8.1.2 计算机安全威胁,17,28,0.9147,0.6272
8.1.3 计算机安全评估与标准,9,11,0.7485,0.6396
8.2 操作系统安全机制,8,10,0.8447,0.7096
8.2.1 身份认证,10,16,0.7055,0.4939
8.2.2 访问控制,10,20,0.7435,0.4461
8.2.3 审计,16,30,0.6985,0.4377
8.2.4 文件系统保护,16,29,0.9059,0.581
8.2.5 入侵检测,22,24,0.6087,0.5681
8.3 操作系统安全模型,20,21,0.7642,0.7351
8.3.1 安全模型的基本概念,14,26,0.5795,0.3655
8.3.2 自主访问控制模型,11,17,0.8943,0.6418
8.3.3 强制访问控制模型,5,10,0.7377,0.4426
8.3.4 基于角色的访问控制模型,13,26,0.7579,0.4547
8.4 操作系统安全体系结构,15,19,0.8353,0.6946
8.4.1 安全体系结构概述,15,27,0.9129,0.5883
8.4.2 安全操作系统设计原则,19,24,0.765,0.6375
8.4.3 安全操作系统体系结构,13,25,0.734,0.4521
8.5 操作系统安全实例,16,17,0.6629,0.6317
9.1 鸿蒙操作系统概述,21,28,0.6757,0.5406
9.1.1 鸿蒙操作系统发展历程,16,23,0.8079,0.6112
9.1.2 鸿蒙操作系统技术特点,17,18,0.659,0.6297
9.2 鸿蒙操作系统架构,13,25,0.8247,0.508
9.2.1 系统架构,16,26,0.7948,0.5502
9.2.2 内核子系统,20,24,0.6046,0.524
9.2.3 驱动子系统,19,26,0.8773,0.6883
9.3 鸿蒙操作系统启动流程,10,15,0.8008,0.5872
9.4 鸿蒙操作系统开发实践,7,11,0.7228,0.5125
10.1 操作系统设计目标,17,22,0.7067,0.5782
10.2 操作系统界面设计,10,11,0.7885,0.7312
10.2.1 用户界面设计,17,28,0.6089,0.4176
10.2.2 系统调用接口设计,21,25,0.9632,0.8399
10.3 操作系统实现,10,13,0.7683,0.6265
10.3.1 操作系统开发环境,21,30,0.6054,0.4601
10.3.2 操作系统编程语言,9,19,0.7907,0.4578
10.3.3 操作系统开发方法,17,24,0.5727,0.4391
10.4 操作系统性能优化,15,20,0.9762,0.781
10.4.1 性能评价指标,17,18,0.5458,0.5216
10.4.2 性能优化技术,21,26,0.6816,0.5768
10.5 操作系统项目管理,12,22,0.588,0.3742
10.5.1 项目规划,7,14,0.8319,0.4991
10.5.2 项目组织,19,23,0.8996,0.7744
10.5.3 项目控制,5,10,0.5818,0.3491
